"","occurrence_no","early_interval","late_interval","max_ma","max_ma_error","max_ma_method","min_ma","min_ma_error","min_ma_method","direct_ma_value","direct_ma_error","direct_ma_method","formation","member","spatial_resolution","collection_dates","research_group","ref_author","ref_pubyr"
"118085",1253017,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Nay","","","","marine invertebrate","Kennedy and Hancock 1993",1993
"118098",1253031,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","St. Lucia","","","2007","marine invertebrate","Klinger and Kennedy 2011",2011
"118193",1253219,"Albian","",113.2,NA,"",100.5,NA,"",NA,NA,"","Alty-Agach","2","","","marine invertebrate","Bragina and Bragin 2015",2015
"118197",1253249,"Albian","",113.2,NA,"",100.5,NA,"",NA,NA,"","Kyulyuli","3","","","marine invertebrate","Bragina and Bragin 2015",2015
"118205",1253257,"Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Kemshidag","4","","","marine invertebrate","Bragina and Bragin 2015",2015
"118242",1253765,"Santonian","Campanian",85.7,NA,"",72.2,NA,"",NA,NA,"","Bystrinskaya","","","","marine invertebrate","Shimansky 1975",1975
"118264",1253837,"Early Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Mussidan","","","","marine invertebrate","Kennedy 1986",1986
"118314",1253940,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Naredi","","","","marine invertebrate","Halder 2012",2012
"118384",1254024,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Harudi","","","","marine invertebrate","Halder 2012",2012
"118467",1254248,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Upper Lopez de Bertodano","","","","marine invertebrate","Witts et al. 2015",2015
"118674",1254731,"Early Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Snow Hill","","","","marine invertebrate","Cichowolski et al. 2005",2005
"118696",1254895,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Nakato Shale","","","","marine invertebrate","Furuichi 1982",1982
"118701",1254900,"Early Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Goshonoura","","","","marine invertebrate","Matsumoto and Amano 1964",1964
"118716",1254919,"Early Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Karai","","","","marine invertebrate","Spengler 1910",1910
"118761",1255611,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Brighton","Fairfield Greensand","","","marine invertebrate","Stilwell and Grebneff 1996",1996
"118763",1255919,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","Khadro","","","","vertebrate","Rage et al. 2014",2014
"118805",1259740,"Berriasian","",143.1,NA,"",137.05,NA,"",NA,NA,"","Agardhfjellet","","","","marine invertebrate","Hryniewicz et al. 2014",2014
"118809",1259794,"Coniacian","",89.8,NA,"",85.7,NA,"",NA,NA,"","Nodular Limestone","","","","marine invertebrate","Gangopadhyay and Halder 1996",1996
"118812",1260101,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","Hoko River","","","","marine invertebrate","Squires 1988",1988
"118814",1260334,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","Belogrodnya","","","1896","marine invertebrate","Baraboshkin and Musatov 2011",2011
"118815",1260335,"Selandian","",61.66,NA,"",59.24,NA,"",NA,NA,"","Syzran","","","","marine invertebrate","Baraboshkin and Musatov 2011",2011
"118816",1260337,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Cross Pass","","","","marine invertebrate","Donovan and Draper 2001",2001
"118909",1261841,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Avenal","","","","marine invertebrate","Stewart 1946",1946
"119047",1263507,"Middle Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Templeton","","","","marine invertebrate","Cobban and Kennedy 1991",1991
"119053",1263513,"Late Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Britton","","","","marine invertebrate","Cobban and Kennedy 1991",1991
"119386",1272760,"Early Hauterivian","",132.6,NA,"",125.77,NA,"",NA,NA,"","Gaita","","","","marine invertebrate","Garcia et al. 2014",2014
"119396",1273181,"Rupelian","",33.9,NA,"",27.3,NA,"",NA,NA,"","Chickasawhay","","","","marine invertebrate","Miller 1947",1947
"119401",1273498,"Late Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Cantarranas","","","","marine invertebrate","Gordon and Young 1993",1993
"119405",1274131,"Chattian","",27.3,NA,"",23.04,NA,"",NA,NA,"","Poul Creek","","","1913","marine invertebrate","Miller 1947",1947
"119408",1274468,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Esna","","","1902-1903","marine invertebrate","Oppenheim 1902",1902
"119409",1276660,"Bartonian","Late Eocene",41.03,NA,"",33.9,NA,"",NA,NA,"","Rhin Chua","","","","freshwater,vertebrate","Böhme et al. 2013",2013
"119465",1277541,"Late Barremian","",125.77,NA,"",121.4,NA,"",NA,NA,"","Donji Milanovac","","","","marine invertebrate","Vasicek et al. 2013",2013
"119551",1280639,"Chattian","",27.3,NA,"",23.04,NA,"",23.4,NA,"Sr isotope","Falun d'Escornebeou et Sainte Paul-les-Dax","","","","marine invertebrate,micropaleontology","Lozouet 1992",1992
"119552",1280751,"Chattian","",27.3,NA,"",23.04,NA,"",25.3,NA,"Sr isotope","Marnes de Saint-Etienned’Orthe","","","","marine invertebrate","Lozouet 1992",1992
"119559",1283198,"Late Barremian","",125.77,NA,"",121.4,NA,"",NA,NA,"","La Huérguina","","parautochthonous","","paleoentomology,vertebrate","Sanz et al. 2014",2014
"119586",1284829,"Rupelian","",33.9,NA,"",27.3,NA,"",NA,NA,"","Blanch Point","Tuit","","","marine invertebrate","Yates 2009",2009
"119639",1285198,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","El Fuerte","","","","marine invertebrate","Casadío et al. 1999",1999
"119642",1285201,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","Salamanca","","","","decapod,marine invertebrate","Casadío et al. 1999",1999
"119644",1285266,"Middle Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Essener Grünsand","","","","marine invertebrate","Wittler et al. 1999",1999
"119696",1285524,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","Browns Creek Clay","","","","marine invertebrate","McGowran 1959",1959
"119733",1285561,"Early Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Parras","","","","marine invertebrate","Ifrim et al. 2013",2013
"119755",1285837,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","Zalumah","","","","marine invertebrate","Neubert and van Damme 2012",2012
"119774",1285924,"Chattian","",27.3,NA,"",23.04,NA,"",NA,NA,"","Falun de St. Paul-les-Dax","","","","marine invertebrate","Cahuzac and Janssen 2010",2010
"119791",1285947,"Chattian","",27.3,NA,"",23.04,NA,"",NA,NA,"","Marnes de Saint-Etienne-d’Orthe","","","","marine invertebrate","Cahuzac and Janssen 2010",2010
"119840",1286071,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","Marnes de la Côte des Basques","Marnes des Bains","","","marine invertebrate","Cahuzac and Janssen 2010",2010
"119845",1286084,"Rupelian","",33.9,NA,"",27.3,NA,"",NA,NA,"","Kishima","","","","marine invertebrate","Ando 2011",2011
"119904",1286493,"Late Albian","",106.3,NA,"",100.5,NA,"",NA,NA,"","Hunstanton","","","","marine invertebrate","Foord and Crick 1890",1890
"119905",1286494,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Upper Chalk","","","","marine invertebrate","Foord and Crick 1890",1890
"119923",1286512,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Sables de Cuise","","","","marine invertebrate","Pacaud 2010",2010
"119924",1286513,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Calcaire de Fresville","","","","marine invertebrate","Pacaud 2010",2010
